date,region,product_category,revenue,units_sold,avg_price,customer_count
2024-01-01,North,Electronics,45000,150,300,120
2024-01-01,South,Electronics,38000,130,292,105
2024-01-01,East,Electronics,52000,175,297,140
2024-01-01,West,Electronics,41000,140,293,115
2024-01-08,North,Electronics,47000,158,297,125
2024-01-08,South,Electronics,36000,125,288,100
2024-01-08,East,Electronics,54000,180,300,145
2024-01-08,West,Electronics,150000,142,1056,118
2024-01-15,North,Electronics,46000,155,297,122
2024-01-15,South,Electronics,5000,115,43,95
2024-01-15,East,Electronics,55000,183,300,148
2024-01-15,West,Electronics,43000,145,297,120
2024-01-22,North,Electronics,48000,160,300,128
2024-01-22,South,Electronics,31000,108,287,90
2024-01-22,East,Electronics,56000,186,301,150
2024-01-22,West,Electronics,44000,148,297,500
2024-01-29,North,Electronics,2000,163,12,130
2024-01-29,South,Electronics,29000,102,284,85
2024-01-29,East,Electronics,57000,190,300,152
2024-01-29,West,Electronics,45000,150,300,125
2024-02-05,North,Electronics,50000,166,301,132
2024-02-05,South,Electronics,28000,98,286,82
2024-02-05,East,Electronics,180000,193,933,155
2024-02-05,West,Electronics,46000,153,301,127
2024-02-12,North,Electronics,51000,168,303,135
2024-02-12,South,Electronics,27000,95,284,80
2024-02-12,East,Electronics,59000,195,303,158
2024-02-12,West,Electronics,47000,155,303,130
2024-02-19,North,Electronics,52000,170,306,138
2024-02-19,South,Electronics,800,5,160,3
2024-02-19,East,Electronics,60000,198,303,160
2024-02-19,West,Electronics,48000,158,304,132
